GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
606495	NA	2.72e-01	0.385	1.09933	0.4233504	66.59	CYB5RL	cytochrome b5 reductase like
51253	NA	9.14e-01	0.352	0.1084646	0.0381834	80.37	MRPL37	mitochondrial ribosomal protein L37
619518	NA	8.97e-01	0.49	0.1299405	0.063729	30.51	SSBP3-AS1	SSBP3 antisense RNA 1
338094	NA	9.38e-02	0.612	1.6754679	1.0252787	16.71	FAM151A	family with sequence similarity 151 member A
100527960	NA	1.21e-01	0.261	1.5526168	0.4049741	120.11	MROH7-TTC4	MROH7-TTC4 readthrough (NMD candidate)
374977	NA	2.66e-02	0.305	2.216902	0.6765364	70.03	MROH7	maestro heat like repeat family member 7
7268	NA	9.46e-01	0.331	0.068334	0.022613	52.98	TTC4	tetratricopeptide repeat domain 4
25973	NA	6.65e-01	0.7	-0.4334277	-0.3035747	24.08	PARS2	prolyl-tRNA synthetase 2, mitochondrial
55001	NA	8.19e-01	0.939	-0.2286506	-0.2147333	21.88	TTC22	tetratricopeptide repeat domain 22
163747	NA	9.29e-01	1.05	0.0885415	0.0929634	15.12	LEXM	lymphocyte expansion molecule
107984958	NA	2.82e-01	0.912	1.074817	0.9804695	16.26	DHCR24-DT	DHCR24 divergent transcript
255738	NA	5.42e-01	1.148	-0.6102939	-0.7004848	17.59	PCSK9	proprotein convertase subtilisin/kexin type 9
199920	NA	9.27e-01	1.092	0.0915815	0.0999771	17.75	FYB2	FYN binding protein 2
112267900	NA	5.22e-01	0.608	0.6407672	0.3897214	49.89	LOC112267900	uncharacterized LOC112267900
1600	NA	8.57e-01	0.465	-0.1801903	-0.0837675	114.47	DAB1	DAB adaptor protein 1
105378748	NA	7.72e-02	0.754	1.766967	1.3329602	20.74	LOC105378748	uncharacterized LOC105378748
105378747	NA	3.02e-01	0.539	-1.0311955	-0.5561586	55.86	LOC105378747	uncharacterized LOC105378747
105378746	NA	6.75e-01	0.579	0.4188882	0.2423596	36.44	LOC105378746	uncharacterized LOC105378746
107984960	NA	9.64e-01	0.71	0.0451025	0.0320125	65.2	LOC107984960	uncharacterized LOC107984960
115209	NA	1.97e-01	0.45	-1.2890577	-0.5794585	137.69	OMA1	OMA1 zinc metallopeptidase
105378751	NA	9.45e-01	1.088	0.0683664	0.0744073	27.54	LOC105378751	uncharacterized LOC105378751
100131060	NA	8.39e-01	0.847	-0.2029104	-0.1718253	12.44	LINC01135	long intergenic non-protein coding RNA 1135
101926907	NA	8.21e-01	0.491	0.2258117	0.1108156	45.81	LOC101926907	uncharacterized LOC101926907
105378753	NA	1.00	0.684	0.000455	0.0003114	41.67	LINC02777	long intergenic non-protein coding RNA 2777
105378756	NA	6.37e-01	0.843	0.4723129	0.3983325	26.72	FGGY-DT	FGGY divergent transcript
55277	NA	2.17e-01	0.441	-1.2348802	-0.5443923	151.15	FGGY	FGGY carbohydrate kinase domain containing
1573	NA	8.17e-01	0.393	0.2313251	0.0909551	103.18	CYP2J2	cytochrome P450 family 2 subfamily J member 2
127795	NA	5.91e-01	0.711	0.5366737	0.3814146	31.61	C1orf87	chromosome 1 open reading frame 87
105378763	NA	9.90e-01	0.415	0.01297	0.005385	33.73	LINC01748	long intergenic non-protein coding RNA 1748
101926964	NA	7.74e-01	0.741	0.2873908	0.2129102	23.99	LOC101926964	uncharacterized LOC101926964
105378764	NA	9.58e-01	0.987	-0.0521857	-0.0514999	12.45	LOC105378764	uncharacterized LOC105378764
100996570	NA	8.86e-01	0.887	-0.1439092	-0.1276139	17.8	NFIA-AS2	NFIA antisense RNA 2
83941	NA	6.72e-01	0.548	0.4236042	0.2321254	59.35	TM2D1	TM2 domain containing 1
107984965	NA	1.89e-01	1.007	1.3139798	1.323377	8.38	LOC107984965	uncharacterized LOC107984965
54596	NA	9.22e-01	1.251	0.0982827	0.1229904	10.24	L1TD1	LINE1 type transposase domain containing 1
163782	NA	8.86e-01	0.659	-0.1434565	-0.0945837	26.96	KANK4	KN motif and ankyrin repeat domains 4
7398	NA	9.00e-01	0.385	-0.1257453	-0.0483875	190.29	USP1	ubiquitin specific peptidase 1
27329	NA	3.27e-01	0.909	0.9803932	0.8907804	19.72	ANGPTL3	angiopoietin like 3
29929	NA	4.68e-01	0.361	0.7252235	0.2617365	54.56	ALG6	ALG6 alpha-1,3-glucosyltransferase
23421	NA	1.97e-01	0.388	1.2906501	0.5002712	53.02	ITGB3BP	integrin subunit beta 3 binding protein
84455	NA	8.59e-01	0.414	0.1771889	0.0734245	149.88	EFCAB7	EF-hand calcium binding domain 7
79469	NA	6.89e-01	0.779	0.4003009	0.311843	28.87	DLEU2L	deleted in lymphocytic leukemia 2 like
5236	NA	6.91e-01	0.333	0.3972715	0.1324337	132.11	PGM1	phosphoglucomutase 1
4919	NA	7.05e-01	0.59	-0.3785612	-0.2231946	45.71	ROR1	receptor tyrosine kinase like orphan receptor 1
101927034	NA	5.84e-01	0.904	0.5481817	0.4955641	11.32	ROR1-AS1	ROR1 antisense RNA 1
55225	NA	1.59e-01	0.37	1.4084741	0.521485	155.24	RAVER2	ribonucleoprotein, PTB binding 2
101927084	NA	9.08e-01	0.593	0.1157222	0.0685915	28.98	LINC01359	long intergenic non-protein coding RNA 1359
112268227	NA	9.29e-01	0.297	0.0896846	0.0266206	124.35	LOC112268227	uncharacterized LOC112268227
3953	NA	1.39e-01	0.374	1.4810195	0.5541103	104.85	LEPR	leptin receptor
54741	NA	6.47e-02	0.388	1.8472803	0.7164683	191.8	LEPROT	leptin receptor overlapping transcript
101927139	NA	8.71e-01	1.149	0.1626571	0.1868619	17.76	PDE4B-AS1	PDE4B antisense RNA 1
200132	NA	2.66e-01	0.975	1.1123438	1.0848676	20.57	DYNLT5	dynein light chain Tctex-type family member 5
79819	NA	2.38e-01	0.475	-1.1791379	-0.5602051	159.94	DNAI4	dynein axonemal intermediate chain 4
23169	NA	2.67e-02	0.263	2.2155593	0.5818031	105.08	SLC35D1	solute carrier family 35 member D1
3595	NA	6.59e-02	0.405	1.8393198	0.7455181	54.74	IL12RB2	interleukin 12 receptor subunit beta 2
1647	NA	5.09e-01	0.501	0.6606589	0.3311367	74.42	GADD45A	growth arrest and DNA damage inducible alpha
55970	NA	4.88e-03	0.418	2.8147259	1.1758889	188.23	GNG12	G protein subunit gamma 12
100289178	NA	4.02e-01	0.687	0.8385112	0.5760141	39.52	GNG12-AS1	GNG12, DIRAS3 and WLS antisense RNA 1
9077	NA	6.46e-01	0.724	-0.4589004	-0.3320632	23.96	DIRAS3	DIRAS family GTPase 3
6121	NA	6.12e-01	1.061	0.5079281	0.539074	13.92	RPE65	retinoid isomerohydrolase RPE65
55635	NA	7.99e-01	0.775	0.2552436	0.1977604	12.84	DEPDC1	DEP domain containing 1
55631	NA	7.58e-01	0.415	0.308612	0.1281305	122.66	LRRC40	leucine rich repeat containing 40
11147	NA	3.46e-01	0.521	-0.9428039	-0.4909431	33.69	HHLA3	HERV-H LTR-associating 3
102724548	NA	7.23e-01	0.748	-0.3542897	-0.2650041	9.15	HHLA3-AS1	HHLA3 antisense RNA 1
1491	NA	7.38e-01	0.419	-0.3340836	-0.1399937	46.17	CTH	cystathionine gamma-lyase
5733	NA	3.29e-01	0.793	0.9757081	0.7741522	50.09	PTGER3	prostaglandin E receptor 3
100132618	NA	4.16e-01	0.478	0.8129229	0.3884367	50.19	ZRANB2-AS1	ZRANB2 antisense RNA 1
105378797	NA	1.58e-01	0.647	1.410348	0.9123288	26.64	LOC105378797	uncharacterized LOC105378797
105378796	NA	9.37e-01	0.595	-0.0786622	-0.0468009	59.81	LOC105378796	uncharacterized LOC105378796
105378798	NA	7.91e-01	0.611	0.264767	0.1618191	48.11	LOC105378798	uncharacterized LOC105378798
100526835	NA	8.92e-01	0.381	-0.135973	-0.0517508	54.52	FPGT-TNNI3K	FPGT-TNNI3K readthrough
8790	NA	9.06e-01	0.485	0.1184326	0.0574018	70.3	FPGT	fucose-1-phosphate guanylyltransferase
51086	NA	8.54e-01	0.456	-0.1839237	-0.0838163	43.13	TNNI3K	TNNI3 interacting kinase
105378805	NA	8.19e-01	0.704	0.2292143	0.1614211	20.77	LOC105378805	
105378803	NA	6.04e-01	0.688	0.5182793	0.3566384	32.29	LRRC53	leucine rich repeat containing 53
101927320	NA	3.96e-01	0.58	-0.8482743	-0.4920879	32.93	ERICH3-AS1	ERICH3 antisense RNA 1
1429	NA	1.86e-01	0.368	1.322547	0.4866209	64.2	CRYZ	crystallin zeta
127253	NA	1.11e-01	0.353	1.5934324	0.5622285	119.38	TYW3	tRNA-yW synthesizing protein 3 homolog
204962	NA	4.08e-01	0.484	0.8269657	0.4001976	89.15	SLC44A5	solute carrier family 44 member 5
1744	NA	8.15e-01	0.52	0.2334238	0.1213278	53.26	DLSTP1	dihydrolipoamide S-succinyltransferase pseudogene 1
5876	NA	7.08e-01	0.387	-0.3738817	-0.1445713	141.89	RABGGTB	Rab geranylgeranyltransferase subunit beta
4438	NA	9.55e-01	0.932	0.0561199	0.0522967	13.85	MSH4	mutS homolog 4
256435	NA	1.31e-01	0.307	1.5089724	0.4631852	165.27	ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3
105378807	NA	3.18e-01	0.491	0.9989204	0.4908029	32.76	LOC105378807	uncharacterized LOC105378807
81849	NA	3.16e-01	0.518	1.0032886	0.5201456	145.66	ST6GALNAC5	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5
10026	NA	5.57e-01	0.473	0.5879235	0.2779541	134.26	PIGK	phosphatidylinositol glycan anchor biosynthesis class K
105378808	NA	4.75e-01	0.483	0.7143531	0.3453718	56.94	LOC105378808	uncharacterized LOC105378808
374987	NA	7.69e-01	0.865	-0.2936753	-0.2539803	10.74	NEXN-AS1	NEXN antisense RNA 1
91624	NA	1.69e-01	0.387	1.3740804	0.5321737	110.37	NEXN	nexilin F-actin binding protein
54810	NA	7.93e-02	1.069	1.7546963	1.8749961	11.58	GIPC2	GIPC PDZ domain containing family member 2
5737	NA	8.20e-01	1.09	0.2272577	0.2476493	13.09	PTGFR	prostaglandin F receptor
10964	NA	5.31e-02	0.49	-1.9340857	-0.9477322	142.49	IFI44L	interferon induced protein 44 like
10561	NA	3.65e-01	0.387	-0.9058547	-0.3505049	115.76	IFI44	interferon induced protein 44
64123	NA	4.28e-01	0.481	0.7924913	0.3809269	89.71	ADGRL4	adhesion G protein-coupled receptor L4
101927434	NA	9.56e-01	1.035	-0.0550414	-0.056985	6.52	LOC101927434	uncharacterized LOC101927434
107985037	NA	3.39e-01	1.031	0.9558413	0.9854383	9.29	LOC107985037	
105378816	NA	8.17e-01	0.789	0.2310659	0.1822	15.29	LOC105378816	uncharacterized LOC105378816
107985043	NA	7.87e-01	0.992	0.2700109	0.267793	6.24	LOC107985043	uncharacterized LOC107985043
101927587	NA	2.57e-01	0.749	1.1343093	0.8491253	11.57	LINC01725	long intergenic non-protein coding RNA 1725
107985041	NA	9.68e-01	0.589	-0.040697	-0.0239656	40.3	LOC107985041	
107985046	NA	1.83e-01	0.514	1.3314011	0.6847463	44.06	LOC107985046	
80135	NA	2.44e-01	0.363	-1.1662182	-0.4237531	73.36	RPF1	ribosome production factor 1 homolog
2787	NA	5.48e-01	0.609	0.6011431	0.3659627	39.29	GNG5	G protein subunit gamma 5
100505741	NA	5.29e-01	0.417	0.6295983	0.2623508	45.77	SPATA1	spermatogenesis associated 1
1486	NA	2.34e-01	0.412	1.1906641	0.4901494	91.04	CTBS	chitobiase
105378819	NA	1.00	0.978	-0.0001889	-0.0001847	10.87	LOC105378819	uncharacterized LOC105378819
23566	NA	6.25e-01	0.848	0.4883864	0.4143632	28.56	LPAR3	lysophosphatidic acid receptor 3
255231	NA	7.47e-01	0.953	0.3231885	0.3079471	26.87	MCOLN2	mucolipin TRP cation channel 2
126820	NA	3.79e-01	0.887	0.8800344	0.7807632	15.96	DNAI3	dynein axonemal intermediate chain 3
84144	NA	4.52e-01	0.314	0.7520991	0.2362471	69.03	SYDE2	synapse defective Rho GTPase homolog 2
148423	NA	6.35e-01	0.279	0.4742504	0.1325113	190.81	C1orf52	chromosome 1 open reading frame 52
8915	NA	1.23e-01	0.392	1.5415417	0.6049394	59.3	BCL10	BCL10 immune signaling adaptor
107985054	NA	8.16e-01	0.662	0.2330646	0.1544016	20.23	LOC107985054	
3491	NA	4.82e-01	0.444	0.7025159	0.3117411	53.8	CCN1	cellular communication network factor 1
107985057	NA	9.23e-01	0.75	-0.0965286	-0.0724169	18.77	LOC107985057	uncharacterized LOC107985057
255631	NA	4.62e-01	0.433	0.7351226	0.318375	167.23	COL24A1	collagen type XXIV alpha 1 chain
105378824	NA	6.87e-01	0.939	0.4033857	0.3786141	11.93	LINC02795	long intergenic non-protein coding RNA 2795
105378825	NA	2.38e-01	1.019	1.1809393	1.203754	11.03	LOC105378825	uncharacterized LOC105378825
1179	NA	5.94e-01	1.184	-0.5333666	-0.631578	12.51	CLCA1	chloride channel accessory 1
22802	NA	1.30e-01	0.49	-1.5157344	-0.742654	57.88	CLCA4	chloride channel accessory 4
105378828	NA	6.59e-01	0.631	0.4411515	0.278267	15.7	CLCA4-AS1	CLCA4 antisense RNA 1
9403	NA	4.04e-01	0.42	0.8342543	0.3505038	156.08	SELENOF	selenoprotein F
339524	NA	9.26e-01	0.73	-0.0932853	-0.0681284	22.08	LINC01140	long intergenic non-protein coding RNA 1140
101927844	NA	5.50e-01	0.958	0.597235	0.5720918	13.81	LINC02801	long intergenic non-protein coding RNA 2801
105378833	NA	1.32e-01	0.583	1.508202	0.8793181	51.57	LOC105378833	uncharacterized LOC105378833
105378834	NA	8.69e-01	0.991	0.1644679	0.162968	12.87	LOC105378834	uncharacterized LOC105378834
101927871	NA	5.73e-01	1.004	0.5630761	0.5651545	17.5	LOC101927871	uncharacterized LOC101927871
105378839	NA	7.10e-01	0.549	-0.3717588	-0.2041299	23.74	LOC105378839	uncharacterized LOC105378839
101927891	NA	5.12e-01	0.815	0.6549585	0.5335871	15.65	PKN2-AS1	PKN2 antisense RNA 1
105378838	NA	5.92e-01	0.828	0.5352922	0.4434773	17.78	LOC105378838	uncharacterized LOC105378838
2959	NA	3.39e-01	0.456	-0.9562751	-0.4363924	76.71	GTF2B	general transcription factor IIB
56267	NA	6.50e-01	0.45	0.4531205	0.2041223	80.48	KYAT3	kynurenine aminotransferase 3
494115	NA	2.19e-01	0.392	-1.2282482	-0.4811369	210.45	RBMXL1	RBMX like 1
2635	NA	5.23e-02	0.498	1.9403196	0.9671554	61.3	GBP3	guanylate binding protein 3
105378841	NA	7.58e-01	0.998	0.3076599	0.3071348	28.03	LOC105378841	uncharacterized LOC105378841
2633	NA	8.78e-01	0.559	-0.1533612	-0.0857982	107.27	GBP1	guanylate binding protein 1
2634	NA	8.29e-01	0.487	0.2164274	0.1053178	109.86	GBP2	guanylate binding protein 2
112268267	NA	2.22e-01	0.496	1.2219258	0.6061363	56.42	LOC112268267	uncharacterized LOC112268267
105378842	NA	7.99e-01	0.721	0.2548035	0.1837334	18.8	LOC105378842	uncharacterized LOC105378842
388646	NA	4.60e-01	0.746	0.7388093	0.5510166	15.99	GBP7	guanylate binding protein 7
115361	NA	1.44e-01	0.382	1.4624063	0.5590622	95.15	GBP4	guanylate binding protein 4
115362	NA	7.39e-01	0.952	0.3336879	0.3177612	31.1	GBP5	guanylate binding protein 5
163351	NA	7.96e-01	0.847	0.2581814	0.2187588	20.01	GBP6	guanylate binding protein family member 6
400759	NA	9.14e-01	1.049	-0.107376	-0.1126338	7.06	GBP1P1	guanylate binding protein 1 pseudogene 1
84230	NA	7.88e-01	0.294	0.2688571	0.0791603	192.31	LRRC8C	leucine rich repeat containing 8 VRAC subunit C
400761	NA	2.99e-01	0.51	-1.0392795	-0.5303362	25.06	LRRC8C-DT	LRRC8C divergent transcript
107985743	NA	9.14e-01	1.001	0.1078568	0.1079382	9.14	LOC107985743	uncharacterized LOC107985743
55144	NA	6.75e-02	0.355	-1.8280563	-0.6495006	168.92	LRRC8D	leucine rich repeat containing 8 VRAC subunit D
107985088	NA	9.91e-01	0.87	0.0116577	0.0101435	31.31	LOC107985088	uncharacterized LOC107985088
105378850	NA	7.60e-01	1.062	-0.3059054	-0.3249633	9.85	LOC105378850	uncharacterized LOC105378850
105378853	NA	4.04e-01	0.497	0.8343484	0.41489	39.71	LINC02609	long intergenic non-protein coding RNA 2609
105378855	NA	4.16e-01	1.081	0.8133369	0.8793338	16.98	LINC02788	long intergenic non-protein coding RNA 2788
164045	NA	8.49e-01	0.501	-0.1908518	-0.0956828	52.34	HFM1	helicase for meiosis 1
8317	NA	8.21e-01	0.379	0.2259424	0.0857092	63.95	CDC7	cell division cycle 7
7049	NA	3.95e-02	0.366	2.0593827	0.7527595	162.42	TGFBR3	transforming growth factor beta receptor 3
676	NA	4.73e-01	1.073	0.7174101	0.7696949	12.71	BRDT	bromodomain testis associated
253152	NA	3.20e-01	0.638	0.993729	0.6336433	24.56	EPHX4	epoxide hydrolase 4
284697	NA	9.83e-01	0.446	-0.0211952	-0.0094537	59.15	BTBD8	BTB domain containing 8
11146	NA	5.68e-01	0.368	0.5709426	0.2100909	84.01	GLMN	glomulin, FKBP associated protein
388650	NA	4.43e-01	0.448	-0.7664358	-0.34358	157.3	DIPK1A	divergent protein kinase domain 1A
22823	NA	6.43e-01	0.356	0.4638924	0.1651028	179.53	MTF2	metal response element binding transcription factor 2
343099	NA	9.46e-02	0.28	1.6718659	0.4681972	163.55	CCDC18	coiled-coil domain containing 18
100131564	NA	2.67e-01	0.274	1.1097688	0.3043078	108.94	CCDC18-AS1	CCDC18 antisense RNA 1
8412	NA	6.15e-02	0.359	1.869716	0.6704095	93.23	BCAR3	BCAR3 adaptor protein, NSP family member
100129046	NA	2.68e-01	0.676	1.1074828	0.749137	22.89	BCAR3-AS1	BCAR3 antisense RNA 1
2730	NA	2.52e-02	0.374	2.2383135	0.8373535	97.82	GCLM	glutamate-cysteine ligase modifier subunit
24	NA	6.76e-01	0.794	0.4184536	0.3324505	52.26	ABCA4	ATP binding cassette subfamily A member 4
101928079	NA	4.92e-01	0.705	0.6867638	0.4844021	45.86	SLC44A3-AS1	SLC44A3 antisense RNA 1
126969	NA	4.76e-01	0.533	0.7134542	0.3803093	55.58	SLC44A3	solute carrier family 44 member 3
105378862	NA	4.80e-01	0.909	0.705986	0.6417651	8.9	LOC105378862	replaced by ID 729970
729970	NA	6.32e-01	0.487	0.4793023	0.233412	32.72	CNN3-DT	CNN3 divergent transcript
199857	NA	7.32e-01	0.361	-0.342533	-0.123824	80.72	ALG14	ALG14 UDP-N-acetylglucosaminyltransferase subunit
105378863	NA	4.85e-01	0.599	0.6986782	0.4183207	17.4	LOC105378863	uncharacterized LOC105378863
100527978	NA	8.88e-01	0.501	-0.1404534	-0.0704066	38.67	TLCD4-RWDD3	TLCD4-RWDD3 readthrough
101928118	NA	3.20e-01	0.558	-0.9949312	-0.5550087	22.77	RWDD3-DT	RWDD3 divergent transcript
25950	NA	7.88e-01	0.496	0.2695268	0.133787	42.6	RWDD3	RWD domain containing 3
100996635	NA	2.11e-02	0.777	2.3066787	1.7928526	38.88	LINC02607	long intergenic non-protein coding RNA 2607
100873932	NA	5.29e-01	0.734	-0.6293708	-0.4617294	10.35	DPYD-AS1	DPYD antisense RNA 1
105378867	NA	6.16e-01	0.606	-0.5015909	-0.303956	27.49	LOC105378867	uncharacterized LOC105378867
109729128	NA	8.25e-01	0.87	-0.2215603	-0.1928193	29.41	LINC01930	long intergenic non-protein coding RNA 1930
400765	NA	8.25e-01	0.671	0.2216853	0.1488312	111.55	MIR137HG	MIR137 host gene
51375	NA	9.95e-01	0.425	-0.0065306	-0.0027758	50.65	SNX7	sorting nexin 7
163404	NA	7.98e-01	0.575	0.2555334	0.146855	68.36	PLPPR5	phospholipid phosphatase related 5
100129620	NA	1.78e-01	0.823	1.3479045	1.1096706	13.29	PLPPR5-AS1	PLPPR5 antisense RNA 1
54873	NA	9.53e-01	0.473	-0.0588412	-0.0278338	85.75	PALMD	palmdelphin
391059	NA	7.34e-01	0.985	0.340027	0.3350606	22.41	FRRS1	ferric chelate reductase 1
23443	NA	3.73e-01	0.311	0.8911495	0.2774107	184.19	SLC35A3	solute carrier family 35 member A3
64645	NA	8.71e-02	0.391	1.710808	0.6691352	141.19	MFSD14A	major facilitator superfamily domain containing 14A
163786	NA	6.88e-01	0.401	0.4021323	0.1611605	63.24	SASS6	SAS-6 centriolar assembly protein
54482	NA	8.34e-01	0.352	0.2100336	0.0739029	164.76	TRMT13	tRNA methyltransferase 13 homolog
127495	NA	1.44e-01	0.412	-1.4617502	-0.6025985	62.69	LRRC39	leucine rich repeat containing 39
100506007	NA	3.13e-01	0.842	-1.0091177	-0.8497608	12.09	RTCA-AS1	RTCA antisense RNA 1
8634	NA	5.51e-01	0.379	-0.5963467	-0.2259074	101.37	RTCA	RNA 3'-terminal phosphate cyclase
8556	NA	1.53e-01	0.389	1.4300261	0.5556902	107.3	CDC14A	cell division cycle 14A
54112	NA	1.49e-02	0.91	2.4355355	2.2156553	34.88	GPR88	G protein-coupled receptor 88
7412	NA	4.12e-01	0.737	0.8204984	0.6050552	34.16	VCAM1	vascular cell adhesion molecule 1
2135	NA	1.79e-01	0.403	1.3423289	0.5404198	87.35	EXTL2	exostosin like glycosyltransferase 2
148867	NA	3.39e-01	0.301	0.9560089	0.2879833	131.9	SLC30A7	solute carrier family 30 member 7
51611	NA	2.26e-01	0.337	1.2096331	0.4070467	104.39	DPH5	diphthamide biosynthesis 5
102606465	NA	9.38e-01	1.014	-0.0780138	-0.0790889	10.34	DPH5-DT	DPH5 divergent transcript
101928370	NA	6.47e-01	0.955	-0.4584068	-0.4376771	8.71	S1PR1-DT	S1PR1 divergent transcript
118427	NA	5.17e-01	0.549	0.6472807	0.3552398	193.24	OLFM3	olfactomedin 3
94236	NA	1.82e-01	1.094	1.3339534	1.4591508	14.75	DNAJA1P5	DnaJ heat shock protein family (Hsp40) member A1 pseudogene 5
1301	NA	6.95e-01	0.295	0.3923917	0.115656	196.18	COL11A1	collagen type XI alpha 1 chain
280	NA	7.51e-01	0.401	-0.3170229	-0.1272662	159.2	AMY2B	amylase alpha 2B
648740	NA	4.09e-01	0.513	-0.8253315	-0.4236354	35.4	ACTG1P4	actin gamma 1 pseudogene 4
279	NA	6.35e-01	0.441	-0.4749837	-0.209334	20.51	AMY2A	amylase alpha 2A
276	NA	9.44e-01	0.599	-0.0707992	-0.042374	19.26	AMY1A	amylase alpha 1A
277	NA	7.20e-01	0.866	0.3583816	0.3104683	10.68	AMY1B	amylase alpha 1B
278	NA	7.31e-01	0.606	-0.3431503	-0.2080544	21.35	AMY1C	amylase alpha 1C
55170	NA	3.29e-01	0.614	-0.9765631	-0.5994495	22.97	PRMT6	protein arginine methyltransferase 6
22854	NA	7.50e-01	0.342	0.3183669	0.1089567	131	NTNG1	netrin G1
10451	NA	6.25e-01	0.475	0.4883108	0.2318019	80.49	VAV3	vav guanine nucleotide exchange factor 3
29957	NA	6.56e-02	0.429	1.8411356	0.7903933	72.61	SLC25A24	solute carrier family 25 member 24
653149	NA	6.90e-01	0.987	0.3988592	0.3938344	28.62	NBPF6	NBPF member 6
284611	NA	7.81e-01	0.429	0.277411	0.1191463	199.84	EEIG2	EEIG family member 2
113802	NA	5.02e-01	0.441	-0.6714301	-0.2963305	35.25	HENMT1	HEN methyltransferase 1
6884	NA	8.88e-02	0.383	-1.701753	-0.6515671	109.34	TAF13	TATA-box binding protein associated factor 13
56900	NA	3.01e-01	0.36	1.033923	0.372297	131.96	TMEM167B	transmembrane protein 167B
127003	NA	9.83e-01	0.931	-0.0209433	-0.0195052	17.44	CFAP276	cilia and flagella associated protein 276
57535	NA	3.84e-01	0.376	0.8699513	0.3267711	169.8	ELAPOR1	endosome-lysosome associated apoptosis and autophagy regulator 1
84722	NA	3.12e-01	0.333	-1.0111515	-0.3362491	120.44	PSRC1	proline and serine rich coiled-coil 1
343263	NA	7.14e-01	0.435	0.366665	0.1594753	47.35	MYBPHL	myosin binding protein H like
5686	NA	6.81e-01	0.446	0.411627	0.1834141	93.76	PSMA5	proteasome 20S subunit alpha 5
284612	NA	2.71e-01	0.804	1.1003949	0.8851884	24.07	SYPL2	synaptophysin like 2
127002	NA	3.38e-01	0.515	0.9573764	0.4928043	61	ATXN7L2	ataxin 7 like 2
284613	NA	7.45e-01	0.436	0.3256305	0.1418547	63.72	CYB561D1	cytochrome b561 family member D1
57463	NA	6.25e-01	0.329	0.4893326	0.1611827	171.83	AMIGO1	adhesion molecule with Ig like domain 1
83873	NA	1.07e-01	0.397	-1.6123395	-0.6403993	51.52	GPR61	G protein-coupled receptor 61
2780	NA	8.74e-01	0.722	0.159167	0.1148666	19.38	GNAT2	G protein subunit alpha transducin 2
2948	NA	4.75e-01	0.337	0.7151218	0.2408495	78.99	GSTM4	glutathione S-transferase mu 4
2946	NA	9.63e-01	0.42	0.0468622	0.0196847	123.96	GSTM2	glutathione S-transferase mu 2
2944	NA	5.14e-02	0.604	-1.947842	-1.1757903	55.73	GSTM1	glutathione S-transferase mu 1
2949	NA	6.46e-01	0.344	-0.4590576	-0.158015	74.53	GSTM5	glutathione S-transferase mu 5
79574	NA	7.14e-01	1.051	0.3666988	0.3853124	21.19	EPS8L3	EPS8 like 3
1435	NA	1.53e-01	0.33	1.4291377	0.4722529	110.54	CSF1	colony stimulating factor 1
85369	NA	5.86e-01	0.262	-0.5453081	-0.1427154	199.39	STRIP1	striatin interacting protein 1
257	NA	6.33e-01	0.69	0.47755	0.3293975	16.5	ALX3	ALX homeobox 3
105378897	NA	9.81e-01	0.601	-0.0238707	-0.0143366	31.85	SLC6A17-AS1	SLC6A17 antisense RNA 1
64783	NA	3.31e-01	0.33	-0.9718025	-0.3206647	131.27	RBM15	RNA binding motif protein 15
9122	NA	6.52e-01	0.466	0.4508342	0.2103087	54.23	SLC16A4	solute carrier family 16 member 4
10542	NA	6.91e-01	0.413	0.3979423	0.1643833	54.53	LAMTOR5	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5
107985174	NA	7.81e-01	0.948	0.2782623	0.2638323	31.92	LOC107985174	uncharacterized LOC107985174
3738	NA	2.86e-02	0.454	2.1890079	0.9941952	155.12	KCNA3	potassium voltage-gated channel subfamily A member 3
963	NA	8.42e-01	0.639	0.1987568	0.1270671	68.63	CD53	CD53 molecule
55791	NA	5.18e-01	0.416	-0.6457371	-0.2688037	101.15	LRIF1	ligand dependent nuclear receptor interacting factor 1
128338	NA	8.90e-01	0.442	-0.1381417	-0.0610676	66.82	DRAM2	DNA damage regulated autophagy modulator 2
10390	NA	5.19e-01	0.359	0.6453138	0.2314287	107.58	CEPT1	choline/ethanolamine phosphotransferase 1
79961	NA	7.32e-01	0.634	0.3423708	0.2169679	48.03	DENND2D	DENN domain containing 2D
1117	NA	3.96e-01	0.612	0.8482051	0.5190849	98.63	CHI3L2	chitinase 3 like 2
128344	NA	3.81e-01	0.752	0.8768252	0.6596922	37.4	PIFO	primary cilia formation
5016	NA	4.88e-01	0.364	0.6937011	0.2523986	50.29	OVGP1	oviductal glycoprotein 1
79084	NA	4.18e-01	0.402	0.8095125	0.3255037	55.28	WDR77	WD repeat domain 77
128346	NA	3.56e-01	0.291	0.9230495	0.2687805	143.05	C1orf162	chromosome 1 open reading frame 162
57413	NA	3.74e-02	0.482	-2.0809311	-1.0031757	33.65	TMIGD3	transmembrane and immunoglobulin domain containing 3
140	NA	6.92e-01	0.553	-0.3955865	-0.2187046	27.94	ADORA3	adenosine A3 receptor
